Date,High,Low,Open,Close,Volume,Adj Close
2/1/2020,75.15000153,73.79750061,74.05999756,75.08750153,135480400,74.09644318
3/1/2020,75.14499664,74.125,74.28749847,74.35749817,146322800,73.37608337
6/1/2020,74.98999786,73.1875,73.44750214,74.94999695,118387200,73.96076965
7/1/2020,75.22499847,74.37000275,74.95999908,74.59750366,108872000,73.6129303
8/1/2020,76.11000061,74.29000092,74.29000092,75.79750061,132079200,74.79708099
9/1/2020,77.60749817,76.55000305,76.80999756,77.40750122,170108400,76.38583374
10/1/2020,78.16750336,77.0625,77.65000153,77.58249664,140644800,76.55851746
13/1/2020,79.26750183,77.78749847,77.91000366,79.23999786,121532000,78.1941452
14/1/2020,79.39250183,78.04250336,79.17500305,78.16999817,161954400,77.13825989
15/1/2020,78.875,77.38749695,77.96250153,77.83499908,121923600,76.80770111
16/1/2020,78.92500305,78.02249908,78.39749908,78.80999756,108829200,77.76982117
17/1/2020,79.68499756,78.75,79.06749725,79.68250275,137816400,78.6308136
21/1/2020,79.75499725,79,79.29750061,79.14250183,110843200,78.09793854
22/1/2020,79.99749756,79.32749939,79.64499664,79.42500305,101832400,78.37671661
23/1/2020,79.88999939,78.91249847,79.48000336,79.80750275,104472000,78.75415802
24/1/2020,80.83249664,79.37999725,80.0625,79.57749939,146537600,78.52719879
27/1/2020,77.94249725,76.22000122,77.51499939,77.23750305,161940000,76.21807861
28/1/2020,79.59999847,78.04750061,78.15000153,79.42250061,162234000,78.37423706
29/1/2020,81.96250153,80.34500122,81.11250305,81.08499908,216229200,80.01480103
30/1/2020,81.02249908,79.6875,80.13500214,80.96749878,126743200,79.89884949
31/1/2020,80.66999817,77.07250214,80.23249817,77.37750244,199588400,76.35622406
3/2/2020,78.37249756,75.55500031,76.07499695,77.16500092,173788400,76.14654541
4/2/2020,79.91000366,78.40750122,78.82749939,79.71250153,136616400,78.66041565
5/2/2020,81.19000244,79.73750305,80.87999725,80.36250305,118826800,79.30182648
6/2/2020,81.30500031,80.06500244,80.64250183,81.30249786,105425600,80.22943115
7/2/2020,80.84999847,79.5,80.59249878,80.00749969,117684000,79.13890076
10/2/2020,80.38749695,78.46250153,78.54499817,80.38749695,109348800,79.51477051
11/2/2020,80.97499847,79.67749786,80.90000153,79.90249634,94323200,79.03502655
12/2/2020,81.80500031,80.36750031,80.36750031,81.80000305,113730400,80.91194153
13/2/2020,81.55500031,80.83750153,81.04750061,81.21749878,94747600,80.33575439
14/2/2020,81.49500275,80.71250153,81.18499756,81.23750305,80113600,80.35554504
18/2/2020,79.9375,78.65249634,78.83999634,79.75,152531200,78.88419342
19/2/2020,81.14250183,80,80,80.90499878,93984000,80.02664948
20/2/2020,81.16249847,79.55249786,80.65750122,80.07499695,100566000,79.20565796
21/2/2020,80.11250305,77.625,79.65499878,78.26249695,129554000,77.41283417
24/2/2020,76.04499817,72.30750275,74.31500244,74.54499817,222195200,73.73569489
25/2/2020,75.63249969,71.53250122,75.23750305,72.01999664,230673600,71.23809814
26/2/2020,74.47000122,71.625,71.63249969,73.16249847,198054800,72.36820984
27/2/2020,71.5,68.23999786,70.27500153,68.37999725,320605600,67.63762665
28/2/2020,69.60250092,64.09249878,64.31500244,68.33999634,426510000,67.59806061
2/3/2020,75.36000061,69.43000031,70.56999969,74.70249939,341397200,73.89148712
3/3/2020,76,71.44999695,75.91750336,72.33000183,319475600,71.54473877
4/3/2020,75.84999847,73.28250122,74.11000061,75.68499756,219178400,74.86331177
5/3/2020,74.88749695,72.85250092,73.87999725,73.23000336,187572800,72.43497467
6/3/2020,72.70500183,70.30750275,70.5,72.25749969,226176800,71.47303772
9/3/2020,69.52249908,65.75,65.9375,66.54250336,286744800,65.82007599
10/3/2020,71.61000061,67.34249878,69.28500366,71.33499908,285290000,70.56054688
11/3/2020,70.30500031,67.96499634,69.34750366,68.85749817,255598800,68.10993958
12/3/2020,67.5,62,63.98500061,62.05749893,418474000,61.38376617
13/3/2020,69.98000336,63.23749924,66.22250366,69.49250031,370732000,68.73804474
16/3/2020,64.76999664,60,60.48749924,60.55250168,322423600,59.89510727
17/3/2020,64.40249634,59.59999847,61.87749863,63.21500015,324056000,62.52869797
18/3/2020,62.5,59.27999878,59.94250107,61.66749954,300233600,60.9980011
19/3/2020,63.20999908,60.65250015,61.84749985,61.19499969,271857200,60.53063202
20/3/2020,62.95750046,57,61.79499817,57.31000137,401693200,56.68781662
23/3/2020,57.125,53.15250015,57.02000046,56.09249878,336752800,55.48352814
24/3/2020,61.92250061,58.57500076,59.09000015,61.72000122,287531200,61.0499382
25/3/2020,64.5625,61.07500076,62.6875,61.38000107,303602000,60.71362305
26/3/2020,64.66999817,61.59000015,61.63000107,64.61000061,252087200,63.90856171
27/3/2020,63.96749878,61.76250076,63.1875,61.93500137,204216800,61.26259995
30/3/2020,63.88000107,62.34999847,62.68500137,63.70249939,167976400,63.01090622
31/3/2020,65.62249756,63,63.90000153,63.57249832,197002000,62.8823204
1/4/2020,62.18000031,59.78250122,61.625,60.22750092,176218400,59.57363892
2/4/2020,61.28749847,59.22499847,60.08499908,61.23249817,165934000,60.56772614
3/4/2020,61.42499924,59.74250031,60.70000076,60.35250092,129880000,59.69727707
6/4/2020,65.77749634,62.34500122,62.72499847,65.61750031,201820400,64.90511322
7/4/2020,67.92500305,64.75,67.69999695,64.85749817,202887200,64.15337372
8/4/2020,66.84249878,65.30750275,65.68499756,66.51750183,168895200,65.79534912
9/4/2020,67.51750183,66.17500305,67.17500305,66.99749756,161834800,66.27012634
13/4/2020,68.42500305,66.45749664,67.07749939,68.3125,131022800,67.57086182
14/4/2020,72.0625,69.51249695,70,71.76249695,194994800,70.98339081
15/4/2020,71.58249664,70.15750122,70.59999847,71.10749817,131154400,70.33551025
16/4/2020,72.05000305,70.58750153,71.84500122,71.67250061,157125200,70.89438629
17/4/2020,71.73750305,69.21499634,71.17250061,70.69999695,215250000,69.93244171
20/4/2020,70.41999817,69.21250153,69.48750305,69.23249817,130015200,68.48087311
21/4/2020,69.3125,66.35749817,69.06999969,67.09249878,180991600,66.36411285
22/4/2020,69.47499847,68.05000305,68.40249634,69.02500153,116862400,68.27562714
23/4/2020,70.4375,68.71749878,68.96749878,68.75749969,124814400,68.0110321
24/4/2020,70.75250244,69.25,69.30000305,70.74250031,126161200,69.97447205
27/4/2020,71.13500214,69.98750305,70.44999695,70.79250336,117087600,70.02394104
28/4/2020,71.45749664,69.55000305,71.26999664,69.64499664,112004800,68.88890076
29/4/2020,72.41750336,70.97250366,71.18250275,71.93250275,137280800,71.15155792
30/4/2020,73.63249969,72.08750153,72.48999786,73.44999695,183064000,72.65258026
1/5/2020,74.75,71.46250153,71.5625,72.26750183,240616800,71.48293304
4/5/2020,73.42250061,71.58000183,72.29250336,73.29000092,133568000,72.49432373
5/5/2020,75.25,73.61499786,73.76499939,74.38999939,147751200,73.5823822
6/5/2020,75.80999756,74.71749878,75.11499786,75.15750122,142333600,74.34153748
7/5/2020,76.29250336,75.49250031,75.80500031,75.93499756,115215200,75.11060333
8/5/2020,77.58750153,76.07250214,76.41000366,77.53250122,133838400,76.89836121
11/5/2020,79.26249695,76.80999756,77.02500153,78.75250244,145946400,78.10838318
12/5/2020,79.92250061,77.72750092,79.45749664,77.85250092,162301200,77.21574402
13/5/2020,78.98750305,75.80249786,78.03749847,76.91249847,200622400,76.28342438
14/5/2020,77.44750214,75.38249969,76.12750244,77.38500214,158929200,76.7520752
15/5/2020,76.97499847,75.05249786,75.08750153,76.92749786,166348400,76.29830933
18/5/2020,79.125,77.58000183,78.29250336,78.73999786,135178400,78.09599304
19/5/2020,79.62999725,78.25250244,78.75749969,78.28500366,101729600,77.64471436
