Date,Open,High,Low,Close,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL
2023-01-01,128.46816952849755,129.07954225315206,122.44314188354332,127.81734466552734,369948500
2023-01-08,128.65551786763598,133.0436274447719,126.33819396627058,132.88584899902344,333335200
2023-01-15,132.95495047222008,136.68238163487928,131.90969406793627,135.95266723632812,271823400
2023-01-22,136.19915934679312,145.18246711281154,135.98221768465643,143.90054321289062,338655600
2023-01-29,142.9440581223183,155.19133225252133,139.354679947508,152.35137939453125,480249700
2023-02-05,150.44818371970064,153.07117909745259,147.14476686495271,148.9098663330078,330758800
2023-02-12,149.0779936876695,154.39127855136218,148.97924287733272,150.6581573486328,316792400
2023-02-19,148.33731950815738,149.42368408973823,143.91288161778817,144.89060974121094,213742300
2023-02-26,145.8782084000319,149.23603790139376,142.11544475154318,149.1570281982422,273994900
2023-03-05,151.8827759847735,154.36165801608178,145.77942411442874,146.65838623046875,313350800
2023-03-12,145.9769381179865,154.7962009363973,145.86830167555732,153.07777404785156,410426600
2023-03-19,153.14689686563733,160.12920997936175,152.23829304234832,158.2626495361328,350100100
2023-03-26,157.95651533261287,162.95376161088404,154.04561842334613,162.85499572753906,267939700
2023-04-02,162.23284857037987,164.77096948554336,159.7934784870727,162.61801147460938,200156300
2023-04-09,159.41815638079942,164.25739832506682,157.7984953590606,163.16116333007812,263326300
2023-04-16,163.04266533241034,166.07460056673057,161.9958131243259,162.97354125976562,249953100
2023-04-23,162.9537453098646,167.7436038513408,160.78103171964435,167.57569885253906,256340700
2023-04-30,167.18070418878656,172.13845380689077,162.27233751884367,171.41751098632812,360723200
2023-05-07,170.34097529270278,172.42480861099233,168.87933381599336,170.42987060546875,250062000
2023-05-14,171.24909132279524,174.44344233699894,168.53932324125017,173.22702026367188,258634800
2023-05-21,172.06005344896366,173.83030849826073,168.63824445187637,173.49404907226562,250355000
2023-05-28,175.00718118675027,179.77398268262323,174.62148559872236,178.95314025878906,286488400
2023-06-04,180.6146123076408,182.90900236541506,175.36321262107055,178.96304321289062,347854400
2023-06-11,179.2696336707494,184.92651290759443,178.97294124552118,182.8793487548828,333356300
2023-06-18,182.3749798695451,185.49021256870566,180.57505691240988,184.6199188232422,203677100
2023-06-25,184.76826101878837,192.3338342950544,183.18591159702174,191.8294677734375,281596800
2023-07-02,191.64155613838503,191.74045863307902,187.11209652671664,188.5757598876953,170287800
2023-07-09,187.1714658991115,189.58454233898703,184.54083109421555,188.585693359375,250269000
2023-07-16,189.78230186161775,196.0424496286564,189.11969738642375,189.82186889648438,310848600
2023-07-23,191.27565271864017,195.02382202673238,190.12845012609168,193.6689453125,225884500
2023-07-30,193.8963983627034,194.55900283830164,179.91243942847825,179.98167419433594,301580500
2023-08-06,180.12012059970596,181.10908516222054,174.60169653002652,175.8280029296875,332501200
2023-08-13,176.24371021382134,177.9470275966936,170.29201204567954,172.79747009277344,261498200
2023-08-20,173.3718467168061,179.7889871691961,172.05474576324494,176.87750244140625,247469000
